_key,_ts,time_ms,time_iso,hash,type,usdc,amount,token,delta_json
ledger-130661925da2c2e1aa4cc6bd9152f9e3f6fa8df2,1785225835152,1785225835152,2026-07-28T16:03:55.152000+08:00,0x3033cffc8f1cc75531ad0440e968d502020800e22a1fe627d3fc7b4f4e10a13f,send,,97.28,USDC,"{""type"": ""send"", ""user"": ""0x3b9dfc1d277be988c3441e2abbedbcdf12959731"", ""destination"": ""0x3b9dfc1d277be988c3441e2abbedbcdf12959731"", ""sourceDex"": ""spot"", ""destinationDex"": """", ""token"": ""USDC"", ""amount"": ""97.28"", ""usdcValue"": ""97.28"", ""fee"": ""0.0"", ""nativeTokenFee"": ""0.0"", ""nonce"": 1785225830237, ""feeToken"": """"}"
ledger-0dde35ffd7ef9f4868c419b2866abc992087187b,1785232276725,1785232276725,2026-07-28T17:51:16.725000+08:00,0x7ef72efcca6758ba80700440eac6a60203b000e2656a778c22bfda4f896b32a5,send,,97.28,USDC,"{""type"": ""send"", ""user"": ""0x3b9dfc1d277be988c3441e2abbedbcdf12959731"", ""destination"": ""0x3b9dfc1d277be988c3441e2abbedbcdf12959731"", ""sourceDex"": ""spot"", ""destinationDex"": """", ""token"": ""USDC"", ""amount"": ""97.28"", ""usdcValue"": ""97.28"", ""fee"": ""0.0"", ""nativeTokenFee"": ""0.0"", ""nonce"": 1785232269898, ""feeToken"": """"}"
