_key,_ts,time_ms,time_iso,hash,coin,usdc,szi,fundingRate,nSamples,type
funding-b6a1dd0d9cb099e5d8d75654d7f7b210cdf4e726,1781326800006,1781326800006,2026-06-13T13:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000246,0.00031,0.0000125,,funding
funding-1d14e7fa1766f7ddd8dcc7fd620f7b09a252507b,1781330400043,1781330400043,2026-06-13T14:00:00.043000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000246,0.00031,0.0000125,,funding
funding-bcb84c8b7b3ab0f22da1da08f32d14d36a8cae52,1781344800009,1781344800009,2026-06-13T18:00:00.009000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,0.000247,-0.00031,0.0000125,,funding
funding-5ccc5003b1b1e44dc989172236444fccd46be959,1781348400051,1781348400051,2026-06-13T19:00:00.051000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,0.000219,-0.00031,0.0000111048,,funding
funding-6d16e2d6ec28c43c839a2e5401701a9a4939e7c4,1781499600034,1781499600034,2026-06-15T13:00:00.034000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,0.000797,-0.072,0.0000405291,,funding
funding-0b730596083e4e6ef2d218d304cb3250034294a8,1781499600034,1781499600034,2026-06-15T13:00:00.034000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.00023,-11.0,0.0000125,,funding
funding-082073f788a8850d2414123619f58ee7baa3847d,1781503200000,1781503200000,2026-06-15T14:00:00+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,0.001429,-0.072,0.000071551,,funding
funding-6707ecf366713ddcefa9c91bed75e697bbde3e8b,1781503200000,1781503200000,2026-06-15T14:00:00+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000234,-11.0,0.0000125,,funding
funding-523d3b6d765c4f26e79d864e11682b63858e75e3,1781506800033,1781506800033,2026-06-15T15:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000161,0.24,0.0000081562,,funding
funding-68cdc850930859c5adc24d3c5d9195dde4583444,1781510400043,1781510400043,2026-06-15T16:00:00.043000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.000184,0.03,0.0000125,,funding
funding-a5d44caf88fe2a256343725296c4cec212c5e4f8,1781514000039,1781514000039,2026-06-15T17:00:00.039000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.000184,0.03,0.0000125,,funding
funding-58e5ed78c1ff298cae8be3936ae76fda7eb3a649,1781517600048,1781517600048,2026-06-15T18:00:00.048000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.000185,0.03,0.0000125,,funding
funding-39d2ac83e905dcc43ee771ad169352cc08273008,1781521200029,1781521200029,2026-06-15T19:00:00.029000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.00019,0.03,0.0000125,,funding
funding-4c8fd2ed964b7fa1256e475eba20f3834688cea0,1781528400063,1781528400063,2026-06-15T21:00:00.063000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000249,0.0003,0.0000125,,funding
funding-b5351195310a3fc1aca5448660fe4c78a149113d,1781578800030,1781578800030,2026-06-16T11:00:00.030000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.000194,0.03,0.0000125,,funding
funding-e93e7bb7bfdf0bb4f992c532d9e47b2d6301c0b8,1781582400067,1781582400067,2026-06-16T12:00:00.067000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.00025,0.03,0.0000158233,,funding
funding-eeffddb01e2d5c550c7d3ca2baa6218f568ac587,1781586000040,1781586000040,2026-06-16T13:00:00.040000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000246,0.076,0.0000125,,funding
funding-51eea1208fc8a80f9c136f8b716e22245ca1baca,1781586000040,1781586000040,2026-06-16T13:00:00.040000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,HYPE,-0.000149,0.17,0.0000125,,funding
funding-c52e4d0dcc8bc893cf3a643c87d945afdaa6e995,1781589600054,1781589600054,2026-06-16T14:00:00.054000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000248,0.076,0.0000125,,funding
funding-a972b5223ecdd02b615cfbcd41ac1459479b6b09,1781589600054,1781589600054,2026-06-16T14:00:00.054000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,HYPE,-0.000152,0.17,0.0000125,,funding
funding-9cf412eedbba38699c4f7d1ad6f02485e35c9a25,1781589600054,1781589600054,2026-06-16T14:00:00.054000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.00013,-6.0,0.0000125,,funding
funding-c6aec0b7152f4b04a7abc6f2c0cad94f4c688270,1781593200002,1781593200002,2026-06-16T15:00:00.002000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000142,0.0003,0.0000071253,,funding
funding-2f94f8f138954eafa89861ccd3b9d914069e9ebb,1781593200002,1781593200002,2026-06-16T15:00:00.002000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000251,0.076,0.0000125,,funding
funding-7c8bfc0da1ddb4ad647a43a26f9b200a9bd2d08b,1781593200002,1781593200002,2026-06-16T15:00:00.002000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,HYPE,-0.000482,0.17,0.0000391239,,funding
funding-c71503d1d6d75070fae15d25576f8cae6856a456,1781593200002,1781593200002,2026-06-16T15:00:00.002000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000129,-6.0,0.0000125,,funding
funding-53aa427eb657aba75d223c256e20c9438d20b21c,1781596800014,1781596800014,2026-06-16T16:00:00.014000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.00002,0.0003,0.0000010194,,funding
funding-bf10d4bf1e0028393000f5c79bcf205a4b4417a5,1781596800014,1781596800014,2026-06-16T16:00:00.014000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000255,0.076,0.0000125,,funding
funding-4fa9625269649f528fae5a126904b1df30e258e1,1781596800014,1781596800014,2026-06-16T16:00:00.014000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,HYPE,-0.000377,0.17,0.000030431,,funding
funding-ad3cab16cd15e6b92ff74d00d178326664bef2c9,1781596800014,1781596800014,2026-06-16T16:00:00.014000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000135,-6.0,0.0000125,,funding
funding-a67ce323e968119f53880fad237ed13922241bda,1781600400032,1781600400032,2026-06-16T17:00:00.032000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000186,0.0003,0.0000092768,,funding
funding-eee3d5069c78031e871b9f08cb50d9915e4d984f,1781600400032,1781600400032,2026-06-16T17:00:00.032000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000256,0.076,0.0000125,,funding
funding-36b578ced382b5072fe24247b5d9d42a46d51b67,1781604000053,1781604000053,2026-06-16T18:00:00.053000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000249,0.0003,0.0000125,,funding
funding-1fe7d20eaf921d3530a868e1ff0c1d3a33afd29f,1781604000053,1781604000053,2026-06-16T18:00:00.053000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000254,0.076,0.0000125,,funding
funding-040720bd695b88410c93344218f1405c7a2977ec,1781607600052,1781607600052,2026-06-16T19:00:00.052000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000238,0.0003,0.0000119506,,funding
funding-fd1ac4e992913e401dcb036cad7db9d7f7e23ea5,1781607600052,1781607600052,2026-06-16T19:00:00.052000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,TAO,-0.000253,0.076,0.0000125,,funding
