_key,_ts,time_ms,time_iso,coin,dir,side,px,sz,startPosition,closedPnl,fee,feeToken,builderFee,oid,tid,hash,crossed,liquidation
fill-779753058606151,1785654744969,1785654744969,2026-08-02T15:12:24.969000+08:00,xyz:TSLA,Close Long,A,311.75,0.042,0.042,-0.00168,0.001131,USDC,,508216547192,779753058606151,0x04caf618484116760644044144bf3701a9000dfde3443548a893a16b0744f060,True,
fill-408320071394511,1785659092739,1785659092739,2026-08-02T16:24:52.739000+08:00,xyz:NVDA,Open Long,B,200.48,0.511,0.0,0.0,0.00295,USDC,,508159660734,408320071394511,0x00f0ade15f534207026a044145acaf01ea00c5c6fa5660d9a4b959341e571bf1,False,
fill-398192927970240,1785663853549,1785663853549,2026-08-02T17:44:13.549000+08:00,xyz:NVDA,Close Long,A,200.2,0.511,0.511,-0.14308,0.008838,USDC,,508269292937,398192927970240,0x34fc4ca85272215d3676044146b13b020130008ded75402fd8c4f7fb1175fb47,True,
fill-899814978994112,1785706373539,1785706373539,2026-08-03T05:32:53.539000+08:00,xyz:SKHY,Open Long,B,149.56,0.17,0.0,0.0,0.002196,USDC,,508161631107,899814978994112,0x47da5bbd00b837a6495404414fd4bf02012000a29bbb5678eba3070fbfbc1190,True,
fill-729383763858364,1785739609192,1785739609192,2026-08-03T14:46:49.192000+08:00,xyz:SKHY,Close Long,A,144.71,0.17,0.17,-0.8245,0.002125,USDC,,508800349659,729383763858364,0x778d322cedca67ab7906044156ec4102020f001288cd867d1b55dd7facce4196,True,
fill-356400076270905,1786103820323,1786103820323,2026-08-07T19:57:00.323000+08:00,xyz:BRENTOIL,Open Short,A,81.583,1.0,0.0,0.0,0.002349,USDC,,512156942225,356400076270905,0x87c35dd52470ea16893d0441a4a8b002014700babf7408e82b8c0927e374c401,False,
fill-607468417100856,1786105738128,1786105738128,2026-08-07T20:28:58.128000+08:00,xyz:XYZ100,Open Long,B,29567.0,0.0033,0.0,0.0,0.00843,USDC,,512155949849,607468417100856,0x0158d5543bdcfc1702d20441a512300204ad0039d6d01ae9a52180a6fad0d601,True,
fill-168227951573034,1786105793321,1786105793321,2026-08-07T20:29:53.321000+08:00,xyz:SKHX,Open Long,B,1035.6,0.028,0.0,0.0,0.000835,USDC,,512159206073,168227951573034,0x45318bf86f6454af46ab0441a515180202c600de0a677381e8fa374b2e682e99,False,
fill-433053502949361,1786107559777,1786107559777,2026-08-07T20:59:19.777000+08:00,xyz:XYZ100,Close Long,A,29727.0,0.0033,0.0033,0.528,0.008475,USDC,,512195695796,433053502949361,0x0bfebec7995fb33c0d780441a5760d02023400ad3452d20eafc76a1a58538d26,True,
fill-724023918280562,1786107711589,1786107711589,2026-08-07T21:01:51.589000+08:00,KAITO,Open Long,B,0.88627,33.0,0.0,0.0,0.004211,USDC,,512171528558,724023918280562,0xe39603cad9c7c4b2e50f0441a57e6702019100b074cae384875eaf1d98cb9e9d,False,
fill-949866161254097,1786109568106,1786109568106,2026-08-07T21:32:48.106000+08:00,xyz:SKHX,Close Long,A,1034.7,0.028,0.028,-0.0252,0.002503,USDC,,512217754053,949866161254097,0xf3ca205ce6d01c58f5430441a5e3d9020ad0004281d33b2b9792cbafa5d3f643,True,
fill-877619640683034,1786113667241,1786113667241,2026-08-07T22:41:07.241000+08:00,KAITO,Close Long,A,0.91311,33.0,33.0,0.88572,0.013017,USDC,,512171614121,877619640683034,0xda185e885820993edb920441a6c4fc0206be006df323b8107de109db17247329,True,
fill-425990640655593,1786114933179,1786114933179,2026-08-07T23:02:13.179000+08:00,xyz:BRENTOIL,Close Short,B,82.954,0.13,-1.0,-0.17823,0.000931,USDC,,512156664861,425990640655593,0xcf0bf9d0253105f1d0850441a709fc0205b700b5c03424c372d4a522e434dfdc,True,
fill-20735605018352,1786114933179,1786114933179,2026-08-07T23:02:13.179000+08:00,xyz:BRENTOIL,Close Short,B,82.954,0.87,-0.87,-1.19277,0.006235,USDC,,512156664861,20735605018352,0xcf0bf9d0253105f1d0850441a709fc0205b700b5c03424c372d4a522e434dfdc,True,
