_key,_ts,time_ms,time_iso,coin,dir,side,px,sz,startPosition,closedPnl,fee,feeToken,builderFee,oid,tid,hash,crossed,liquidation
fill-910395425953713,1781507927473,1781507927473,2026-06-15T15:18:47.473000+08:00,xyz:BRENTOIL,Close Long,A,82.185,0.24,0.24,-0.11448,0.001704,USDC,,469439807663,910395425953713,0x98610ead81ea671899da043dc292fc0201ba00931ced85ea3c29ba0040ee4103,True,
fill-936296361740569,1781508102795,1781508102795,2026-06-15T15:21:42.795000+08:00,ZEC,Open Long,B,496.87,0.03,0.0,0.0,0.006439,USDC,,469448650894,936296361740569,0x8238801e6ffe77f383b2043dc29d0b0201b800040af196c526012b712ef251de,True,
fill-1091683749880228,1781508639092,1781508639092,2026-06-15T15:30:39.092000+08:00,BTC,Close Short,B,65942.0,0.0003,-0.0003,-0.0474,0.008546,USDC,,469453130182,1091683749880228,0x727bfc4b9fb558a873f5043dc2bbe102016600313ab8777a1644a79e5eb93293,True,
fill-929664299324052,1781521595269,1781521595269,2026-06-15T19:06:35.269000+08:00,BTC,Open Short,A,65980.0,0.0003,0.0,0.0,0.00285,USDC,,469558697062,929664299324052,0xf9b17a5ddec8669bfb2b043dc5a0c502060b004379cb856e9d7a25b09dcc4086,False,
fill-25467154572708,1781521955527,1781521955527,2026-06-15T19:12:35.527000+08:00,ZEC,Close Long,A,518.74,0.03,0.03,0.6561,0.006722,USDC,,469554919664,25467154572708,0x2957a5ed7a71cc492ad1043dc5b52b000092bdd31574eb1bcd2051403975a633,True,
fill-459460282909902,1781524798684,1781524798684,2026-06-15T19:59:58.684000+08:00,BTC,Close Short,B,66221.0,0.0003,-0.0003,-0.0723,0.008582,USDC,,469601382249,459460282909902,0x05262bc4c9a1d2f6069f043dc6562102071d00aa64a4f1c8a8eed71788a5ace0,True,
fill-154884433529110,1781524815232,1781524815232,2026-06-15T20:00:15.232000+08:00,xyz:INTC,Open Long,B,130.11,0.15,0.0,0.0,0.001686,USDC,,469601625207,154884433529110,0x20a8b64549d854c72222043dc6570a0202cb002ae4db7399c471619808dc2eb1,True,
fill-734550834120016,1781524964511,1781524964511,2026-06-15T20:02:44.511000+08:00,xyz:INTC,Close Long,A,127.73,0.15,0.15,-0.357,0.001655,USDC,,469601625208,734550834120016,0xb9f70084dd42c637bb70043dc65f860202ae006a7845e5095dbfabd79c46a022,True,
fill-405531034897070,1781525437844,1781525437844,2026-06-15T20:10:37.844000+08:00,BTC,Open Long,B,66262.0,0.0003,0.0,0.0,0.008587,USDC,,469602038524,405531034897070,0x9b06f745835ba76e9c80043dc67a42010b000f2b1e5ec6403ecfa298425f8159,True,
fill-266503171909704,1781530999667,1781530999667,2026-06-15T21:43:19.667000+08:00,BTC,Close Long,A,66460.0,0.0003,0.0003,0.0594,0.008613,USDC,,469688778051,266503171909704,0x4e5b01606081b39f4fd4043dc7b45702072d0045fb84d271f223acb31f858d89,True,
fill-983330965542848,1781578760510,1781578760510,2026-06-16T10:59:20.510000+08:00,ZEC,Open Long,B,516.85,0.03,0.0,0.0,0.006698,USDC,,470266047712,983330965542848,0x00fdb262f5b30a6a0277043dd23fe2010100ca4890b6293ca4c65db5b4b6e454,True,
fill-237435957399982,1781579665605,1781579665605,2026-06-16T11:14:25.605000+08:00,HYPE,Open Short,A,68.4,0.29,0.0,0.0,0.002856,USDC,,470220581697,237435957399982,0x88c01ee4520b67278a39043dd2735002076800c9ed0e85f92c88ca37110f4112,False,
fill-381320332919679,1781582200527,1781582200527,2026-06-16T11:56:40.527000+08:00,HYPE,Close Short,B,69.446,0.29,-0.29,-0.30334,0.0087,USDC,,470307984089,381320332919679,0xf841b5f9ff284bc3f9bb043dd30303014b00cddf9a2b6a969c0a614cbe2c25ae,True,
fill-130912948377922,1781582820131,1781582820131,2026-06-16T12:07:00.131000+08:00,HYPE,Open Long,B,69.7,0.17,0.0,0.0,0.001706,USDC,,470311981250,130912948377922,0x68ffd96bf90420406a79043dd326560201ba005194073f120cc884beb807fa2b,False,
fill-696052794087772,1781583399558,1781583399558,2026-06-16T12:16:39.558000+08:00,TAO,Open Long,B,262.0,0.076,0.0,0.0,0.002867,USDC,,470313037830,696052794087772,0xec4f38eaa026f9deedc8043dd347490204fd00d03b2a18b09017e43d5f2ad3c9,False,
fill-492160082288762,1781584772888,1781584772888,2026-06-16T12:39:32.888000+08:00,ZEC,Close Long,A,522.65,0.03,0.03,0.174,0.006773,USDC,,470332881151,492160082288762,0x17bcc6f9e5090f3a1936043dd3952f017d00dedf800c2e0cbb85724ca40ce924,True,
fill-110098015157658,1781589424597,1781589424597,2026-06-16T13:57:04.597000+08:00,LIT,Open Short,A,1.7446,6.0,0.0,0.0,0.004522,USDC,,470376647686,110098015157658,0x910b70e05f3d79269285043dd49d800201c300c5fa3097f834d41c331e315311,True,
fill-49355124545241,1781589695975,1781589695975,2026-06-16T14:01:35.975000+08:00,BTC,Open Long,B,66092.0,0.0003,0.0,0.0,0.008565,USDC,,470377727863,49355124545241,0x37882356fcfbfc4f3901043dd4acb6020171003c97ff1b21db50cea9bbffd639,True,
fill-311624949966356,1781597102231,1781597102231,2026-06-16T16:05:02.231000+08:00,LIT,Close Short,B,1.8162,6.0,-6.0,-0.4296,0.004707,USDC,,470376647687,311624949966356,0xd57be2ef1f22a699d6f5043dd650e802041200d4ba25c56b79448e41de268084,True,
fill-290026493903966,1781599765377,1781599765377,2026-06-16T16:49:25.377000+08:00,HYPE,Close Long,A,73.84,0.17,0.17,0.7038,0.005422,USDC,,470346876016,290026493903966,0x78b1c5000fccdba07a2b043dd6e76a0201a200e5aacffa721c7a7052cec0b58b,True,
fill-669666367598525,1781608059967,1781608059967,2026-06-16T19:07:39.967000+08:00,BTC,Close Long,A,66440.0,0.0003,0.0003,0.1044,0.00861,USDC,,470563902659,669666367598525,0xde3ac05e4732d28edfb4043dd8bdf60203750043e235f16082036bb10636ac79,True,
fill-457851166638316,1781609212693,1781609212693,2026-06-16T19:26:52.693000+08:00,TAO,Close Long,A,265.23,0.076,0.076,0.24548,0.008708,USDC,,470577578094,457851166638316,0xf3487bf4275e7664f4c2043dd8ff7e02011f00d9c251953797112746e652504f,True,
fill-17364190060566,1781649416264,1781649416264,2026-06-17T06:36:56.264000+08:00,HYPE,Open Long,B,73.2,0.27,0.0,0.0,0.002846,USDC,,471121140307,17364190060566,0xa5ec324a8d08599ba765043de1f1080000274a30280b786d49b4dd9d4c0c3386,False,
fill-718968829453261,1781665088353,1781665088353,2026-06-17T10:58:08.353000+08:00,HYPE,Close Long,A,74.891,0.27,0.27,0.45657,0.008735,USDC,,471277653134,718968829453261,0xc32ebf616227caecc4a8043de56c780201f20046fd2ae9be66f76ab4212ba4d7,True,
fill-67042938296424,1781689770485,1781689770485,2026-06-17T17:49:30.485000+08:00,xyz:XYZ100,Open Short,A,30164.0,0.0009,0.0,0.0,0.002345,USDC,,471495749522,67042938296424,0xf56ea01936284311f6e8043deadfcf013f00b7fed12b61e499374b6bf52c1cfc,True,
fill-373014598012097,1781690389113,1781690389113,2026-06-17T17:59:49.113000+08:00,ZEC,Open Short,A,511.94,0.05,0.0,0.0,0.003685,USDC,,471533013008,373014598012097,0x9215d0f6d11bd90a938f043deb02ba01ef00e8dc6c1ef7dc35de7c49901fb2f5,False,
fill-554296062834015,1781690741346,1781690741346,2026-06-17T18:05:41.346000+08:00,ZEC,Close Short,B,508.78,0.05,-0.05,0.158,0.010989,USDC,,471540293012,554296062834015,0xcda61c10d2cbdf1dcf1f043deb168102019f00f66dcefdef716ec76391cfb908,True,
fill-182802300349374,1781719542898,1781719542898,2026-06-18T02:05:42.898000+08:00,xyz:XYZ100,Close Short,B,29785.0,0.0009,-0.0009,0.3411,0.002316,USDC,,471536469627,182802300349374,0x9994be01c12edbde9b0e043df16d1f020ddf00e75c21fab03d5d69548022b5c9,True,
fill-24436957942665,1781728674561,1781728674561,2026-06-18T04:37:54.561000+08:00,xyz:BRENTOIL,Open Long,B,78.428,0.25,0.0,0.0,0.000564,USDC,,471561923090,24436957942665,0x681191655c51de12698b043df36d6d020104004af754fce40bda3cb81b55b7fd,False,
fill-885624967636827,1781747367556,1781747367556,2026-06-18T09:49:27.556000+08:00,xyz:BRENTOIL,Close Long,A,78.35,0.25,0.25,-0.0195,0.001692,USDC,,472404176113,885624967636827,0xb263a4e7fe945d3bb3dd043df78e7c02033d00cd99977c0d562c503abd983726,True,
fill-499512967462416,1781759094956,1781759094956,2026-06-18T13:04:54.956000+08:00,XMR,Open Long,B,330.5,0.06,0.0,0.0,0.002855,USDC,,472534559484,499512967462416,0x38678cbc24c5b06939e1043dfa25330202c500a1bfc8cf3bdc30380ee3c98a53,False,
fill-290839497675511,1781759294863,1781759294863,2026-06-18T13:08:14.863000+08:00,XMR,Close Long,A,328.65,0.06,0.06,-0.111,0.008518,USDC,,472534559485,290839497675511,0x38ed1747c126e3eb3a66043dfa307d020889002d5c2a02bddcb5c29a802abdd5,True,
fill-888532471180425,1781787659235,1781787659235,2026-06-18T21:00:59.235000+08:00,AAVE,Open Long,B,74.062,0.4,0.0,0.0,0.012797,USDC,,472842281384,888532471180425,0xef3d97c974ea01c8f0b7043e00725e000078afaf0fed209a9306431c33eddbb3,True,
fill-65404118408893,1781787925879,1781787925879,2026-06-18T21:05:25.879000+08:00,BTC,Open Long,B,64341.0,0.00031,0.0,0.0,0.008616,USDC,,472843617267,65404118408893,0x8386633ed3fbfd978500043e0081960101007b246eff1c69274f0e9192ffd782,True,
fill-671664444720789,1781789772425,1781789772425,2026-06-18T21:36:12.425000+08:00,AAVE,Close Long,A,73.257,0.4,0.4,-0.322,0.012658,USDC,,472843768294,671664444720789,0x6820487b208fd72f699a043e00e9930101006060bb82f6010be8f3cddf83b11a,True,
fill-477392196814121,1781792168765,1781792168765,2026-06-18T22:16:08.765000+08:00,BTC,Close Long,A,63758.0,0.00031,0.00031,-0.18073,0.008538,USDC,,472924163555,477392196814121,0x16fd59cd9cbd145b1877043e01701f00003871b337b0332dbac605205bb0ee45,True,
fill-954266770984094,1781880438216,1781880438216,2026-06-19T22:47:18.216000+08:00,BTC,Open Long,B,63250.0,0.0005,0.0,0.0,0.004553,USDC,,473946424679,954266770984094,0xb4e8e35c4aa0de7cb662043e14efdd010100fb41e5a3fd4e58b18eaf09a4b867,False,
fill-1052181400174022,1781909505514,1781909505514,2026-06-20T06:51:45.514000+08:00,BTC,Close Long,A,63307.0,0.0005,0.0005,0.0285,0.013674,USDC,,474187938077,1052181400174022,0x6564e6643414ebae66de043e1b61bb0201da0049cf180a80092d91b6f318c599,True,
fill-931487027446700,1781912214148,1781912214148,2026-06-20T07:36:54.148000+08:00,ASTER,Open Long,B,0.63503,25.0,0.0,0.0,0.006858,USDC,,474202300836,931487027446700,0xd0f9842d89d10a3cd273043e1bfbd7010a009c1324d4290e74c22f8048d4e427,True,
fill-1100408721329511,1781913393970,1781913393970,2026-06-20T07:56:33.970000+08:00,BNB,Open Short,A,581.4,0.051,0.0,0.0,0.004269,USDC,,474197762309,1100408721329511,0x5d2f8066caa52f4a5ea9043e1c3eec022a76004c65a84e1c00f82bb989a90935,False,
fill-868130107905896,1781913874328,1781913874328,2026-06-20T08:04:34.328000+08:00,XPL,Open Long,B,0.1,120.0,0.0,0.0,0.001727,USDC,,474215224161,868130107905896,0x29a903bcc6b6c5b42b22043e1c5a240208c700a261b9e486cd71af0f85ba9f9e,False,
fill-807920717434464,1781915580842,1781915580842,2026-06-20T08:33:00.842000+08:00,LTC,Open Long,B,44.103,0.27,0.0,0.0,0.005144,USDC,,474215515061,807920717434464,0xba6a506e36523eb9bbe4043e1cba3f010a006853d1555d8b5e32fbc0f55618a4,True,
fill-430637261601919,1781915676200,1781915676200,2026-06-20T08:34:36.200000+08:00,ZRO,Open Long,B,0.98335,12.1,0.0,0.0,0.00514,USDC,,474214681032,430637261601919,0x17cad706fa18651f1944043e1cbfad000005eeec951b83f1bb938259b91c3f09,True,
fill-101955771615646,1781919863499,1781919863499,2026-06-20T09:44:23.499000+08:00,ZRO,Close Long,A,0.95798,12.1,12.1,-0.306977,0.005007,USDC,,474232632032,101955771615646,0x0f906fe5bd79aeac110a043e1dad6702018400cb587ccd7eb3591b387c7d8896,True,
fill-1026588329124996,1781920657494,1781920657494,2026-06-20T09:57:37.494000+08:00,BNB,Close Short,B,581.0,0.051,-0.051,0.0204,0.0128,USDC,,474271759371,1026588329124996,0x335c2c30a35ae03f34d5043e1dda4c01590044163e5dff11d724d783625eba29,True,
fill-683809221133060,1781920865679,1781920865679,2026-06-20T10:01:05.679000+08:00,LTC,Close Long,A,43.92,0.27,0.27,-0.04941,0.005122,USDC,,474273138158,683809221133060,0x0f0196a984c0d1f5107b043e1de6190201c7008f1fc3f0c7b2ca41fc43c4abdf,True,
fill-704842549606336,1781920971739,1781920971739,2026-06-20T10:02:51.739000+08:00,XPL,Close Long,A,0.09865,120.0,120.0,-0.162,0.005114,USDC,,474274129533,704842549606336,0x04e31d0b5c9f0070065c043e1dec2001e90034f0f7921f42a8abc85e1b92da5a,True,
fill-853515110742754,1781920971739,1781920971739,2026-06-20T10:02:51.739000+08:00,ASTER,Close Long,A,0.6305,25.0,25.0,-0.11325,0.006809,USDC,,474274129534,853515110742754,0xb3860335f8ee13c7b4ff043e1dec2001e901011b93e13299574eae88b7e1edb2,True,
fill-481964120180815,1781929230749,1781929230749,2026-06-20T12:20:30.749000+08:00,HYPE,Open Short,A,69.0,0.28,0.0,0.0,0.002782,USDC,,474328760173,481964120180815,0x3588642896a2dc1a3702043e1fc15e02017c000e31a5faecd9510f7b55a6b604,False,
fill-270260244634329,1781931547379,1781931547379,2026-06-20T12:59:07.379000+08:00,HYPE,Close Short,B,70.015,0.28,-0.28,-0.2842,0.008469,USDC,,474345093843,270260244634329,0x4b9db49284e1d7794d17043e20455a02011400781fe4f64bef665fe543e5b163,True,
fill-455442866099158,1781938801009,1781938801009,2026-06-20T15:00:01.009000+08:00,XMR,Open Long,B,312.24,0.064,0.0,0.0,0.008632,USDC,,474401468756,455442866099158,0xf96e927a4f5e601dfae8043e21e09f013a00aa5fea517ef09d373dcd0e523a08,True,
fill-381606502966702,1781945707420,1781945707420,2026-06-20T16:55:07.420000+08:00,BTC,Open Long,B,63377.0,0.00047,0.0,0.0,0.012868,USDC,,474450670184,381606502966702,0x7a04c15c22a754e87b7e043e2368fa0201300041bdaa73ba1dcd6caee1ab2ed3,True,
fill-838182431104646,1781945887309,1781945887309,2026-06-20T16:58:07.309000+08:00,XMR,Close Long,A,315.42,0.032,0.064,0.10176,0.001453,USDC,,474451997824,838182431104646,0x2bd28b103a9c09ab2d4c043e23733101b400a2f5d59f287dcf9b3662f99fe395,False,
fill-375833319669657,1781948454366,1781948454366,2026-06-20T17:40:54.366000+08:00,XMR,Close Long,A,317.7,0.032,0.032,0.17472,0.001463,USDC,,474451084686,375833319669657,0x193c4eef51c089d91ab6043e23febb016d0066d4ecc3a8abbd04fa4210c463c3,False,
fill-639028141689834,1781961895156,1781961895156,2026-06-20T21:24:55.156000+08:00,BTC,Close Long,A,63340.0,0.00047,0.00047,-0.01739,0.01286,USDC,,474549862409,639028141689834,0x375e8a6f606b21a338d8043e270034020bca0054fb6e4075db2735c21f6efb8d,True,
fill-553622892062091,1781964631589,1781964631589,2026-06-20T22:10:31.589000+08:00,ZRO,Open Short,A,0.903,12.1,0.0,0.0,0.001573,USDC,,474572397621,553622892062091,0xaeec087481ea79edb065043e279c580201ee005a1ced98bf52b4b3c740ee53d8,False,
fill-218379419203019,1782000635124,1782000635124,2026-06-21T08:10:35.124000+08:00,NEAR,Open Short,A,2.1927,5.0,0.0,0.0,0.001578,USDC,,474867681927,218379419203019,0x3cd7b170282d78103e51043e2fa40e01e400c955c32096e2e0a05cc2e72151fa,False,
fill-460269539707335,1782001320652,1782001320652,2026-06-21T08:22:00.652000+08:00,NEAR,Open Short,A,2.216,4.9,-5.0,0.0,0.001563,USDC,,474867890351,460269539707335,0xbc53922f457c319cbdcd043e2fcb800203c70014e07f506e601c3d8204700b87,False,
fill-128416019007655,1782002435150,1782002435150,2026-06-21T08:40:35.150000+08:00,NEAR,Close Short,B,2.2032,4.9,-9.9,0.005047,0.004663,USDC,,474873518322,128416019007655,0x44ccd85c786a37504646043e300af6000007f042136d5622e89583af376e113a,True,
fill-125175177184484,1782003581500,1782003581500,2026-06-21T08:59:41.500000+08:00,NEAR,Close Short,B,2.2082,5.0,-5.0,-0.01985,0.004769,USDC,,474884526436,125175177184484,0xdbf39cd4143ade41dd6d043e304cbe01dd00b4b9af3dfd137fbc4826d33eb82c,True,
fill-919836708836983,1782003594522,1782003594522,2026-06-21T08:59:54.522000+08:00,NEAR,Open Long,B,2.209,9.0,0.0,0.0,0.008588,USDC,,474884462157,919836708836983,0x64f77396f87db00f6671043e304d7e0101008b7c9370cee108c01ee9b77189fa,True,
fill-93708348208525,1782003665302,1782003665302,2026-06-21T09:01:05.302000+08:00,NEAR,Close Long,A,2.2047,9.0,9.0,-0.0387,0.008571,USDC,,474885042047,93708348208525,0xdf271ffd2434f263e0a0043e30518302014400e2bf38113582efcb4fe338cc4e,True,
fill-676773338194162,1782019228228,1782019228228,2026-06-21T13:20:28.228000+08:00,AAVE,Open Short,A,75.531,0.15,0.0,0.0,0.004894,USDC,,474982629764,676773338194162,0x8b7079bf467d8b008cea043e33ca8f01cc0091a4e170a9d22f392512057164eb,True,
fill-602534216855667,1782019886092,1782019886092,2026-06-21T13:31:26.092000+08:00,MON,Open Long,B,0.021218,518.0,0.0,0.0,0.004748,USDC,,474987131960,602534216855667,0x4faf78ea6af7e8e45129043e33f05b01580090d005fb07b6f378243d29fbc2ce,True,
fill-275787326491421,1782038437092,1782038437092,2026-06-21T18:40:37.092000+08:00,LIT,Open Long,B,1.6,7.0,0.0,0.0,0.001612,USDC,,475097042059,275787326491421,0xde3f81445d50b744dfb9043e38133501ac009929f853d61682082c971c54912f,False,
fill-1115845916563925,1782038465173,1782038465173,2026-06-21T18:41:05.173000+08:00,ZRO,Close Short,B,0.90249,12.1,-12.1,0.006171,0.004717,USDC,,475101746991,1115845916563925,0x40885ec547e9d30a4202043e3814d602065800aae2ecf1dce4510a1806edacf4,True,
fill-595169149719372,1782040591000,1782040591000,2026-06-21T19:16:31+08:00,LIT,Close Long,A,1.5759,7.0,7.0,-0.1687,0.004765,USDC,,475118204510,595169149719372,0xfd56a1c10efc8971fed0043e388e4c02012300a6a9ffa844a11f4d13cdf0635c,True,
fill-932754766894084,1782040643407,1782040643407,2026-06-21T19:17:23.407000+08:00,LIT,Open Short,A,1.5745,7.0,0.0,0.0,0.004761,USDC,,475118766912,932754766894084,0x84e3b08a18044c29865d043e389151020303006fb3076afb28ac5bdcd7082614,True,
fill-584812616250348,1782043415128,1782043415128,2026-06-21T20:03:35.128000+08:00,MON,Open Long,B,0.020648,700.0,518.0,0.0,0.002081,USDC,,475127983050,584812616250348,0xaa067c9fae2f73fbab80043e392f220202850107492292cd4dcf27f26d234de6,False,
fill-700864149105190,1782043925397,1782043925397,2026-06-21T20:12:05.397000+08:00,BTC,Open Short,A,64078.0,0.00046,0.0,0.0,0.012733,USDC,,475142116693,700864149105190,0x1037acebe2f404b711b1043e394c4d019e00c4d17df72389b400583ea1f7dea1,True,
